block,thin_pit_fields,current_coverage,current_status,primary_source_route,secondary_source_route,collection_or_annotation_control,mandatory_lineage,admission_rule,dependency_or_blocker
IDENTITY,company_id/company_id_binding_status,1016/1016 READY,BINDING_ONLY,Identity_Ledger and KRX/KIND,None,Do not infer aliases or entity boundaries,company_id + canonical_name + KRX_code + source_ref,company_id unique and binding READY; full identity assessed separately,127/127 overall identity remains PARTIAL
HISTORICAL_ELIGIBILITY,operational_membership/tradable_eligible/historical_eligibility_status,502/1016 deterministic; 514 UNRESOLVED,BLOCKED,Historical_BP + Listing_Tradability,KRX/KIND and admitted daily ledger,Independent denominator adjudication before feature research,cutoff + decision source + adjudicator + revision,ELIGIBLE or INELIGIBLE must be deterministic before denominator release,BP and listing queues open
F1_BASELINE,F1_version_status,0 READY; 520 PARTIAL; 496 NEEDS_RESEARCH,BLOCKED,SEMI-COMPANY-MASTER for U46; primary company filings for U81,Company IR and official technical material,Preserve NOT_FOUND and do not fabricate structural detail,source_id + publication_at + fact/interpretation split,Required F1 fields supported or explicitly NOT_FOUND/NOT_APPLICABLE,U81 READY=0/PARTIAL=19/NEEDS_RESEARCH=62
PRICE,snapshot_close,1016/1016 populated,CANDIDATE_ONLY,Single KRX-derived price ledger,Exchange cross-check only,Mechanical extraction after byte admission,dataset_id + component_sha256 + snapshot_date,Exact admitted component bytes and calendar rule required,2024 and 2026 current named bytes absent
MARKET_CAP,market_cap,1016/1016 populated,CANDIDATE_ONLY,Single KRX-derived price ledger,Exchange cross-check only,Mechanical extraction after byte admission,dataset_id + component_sha256 + observation_at,Exact admitted component bytes and same-day definition required,2024 and 2026 current named bytes absent
VALUATION,valuation_observation_status,0/1016 researched,BLOCKED,KRX price plus PIT earnings denominator,S6 same-provider valuation series,Outcome-blind point-in-time collection,provider + definition + observation_at + publication_at,No current denominator backfill into historical snapshot,All 1016 NEEDS_RESEARCH
EARNINGS,latest_revenue/latest_OP/latest_margin,0/1016 researched,BLOCKED,S1 DART/KIND,S2 company IR,Outcome-concealed source bundle; independent coding where interpretation is required,filing_id + period + publication_at + source_hash,Latest available before cutoff; fact and interpretation separate,All 1016 NEEDS_RESEARCH
FORWARD_EXPECTATIONS,Forward_EPS/Forward_OP/EPS_OP_revision/consensus_provider/observation_at,0/1016 researched,BLOCKED,S6 single consistent consensus provider,Multiple broker reports only as controlled cross-check,No provider mixing; historical vintage only,provider + vintage + observation_at + retrieval_receipt,Snapshot-safe vintage and stable definition required,Provider/vintage authority not supplied
GUIDANCE,guidance,0/1016 researched,BLOCKED,S1 filing and S2 official IR,S7 only as corroboration,Outcome-concealed source bundle with explicit UNKNOWN allowed,source_id + publication_at + fact/interpretation,Available by cutoff and guidance scope/date explicit,All 1016 NEEDS_RESEARCH
PO_ORDER,PO_order_status,0/1016 researched,BLOCKED,S1 DART/KIND,S2 company IR,Separate supply capability from actual PO,contract_id + amount + delivery + publication_at,Primary evidence or explicit NOT_FOUND; never convert missing to negative,All 1016 NEEDS_RESEARCH
BACKLOG,backlog_status,0/1016 researched,BLOCKED,S1 DART/KIND,S2 company IR,Preserve units and period; no current-value backfill,source_id + observation_period + publication_at,Snapshot-safe amount/status and conversion interpretation separated,All 1016 NEEDS_RESEARCH
QUALIFICATION,qualification_status,0/1016 researched,BLOCKED,S2 supplier/customer official material,S3 customer official material then corroborated S7,Separate evaluation underway from qualification complete,source_id + commercial_stage + publication_at,Stage must be evidenced; UNKNOWN/NOT_FOUND permitted,All 1016 NEEDS_RESEARCH
REPEAT_ORDER,volume_repeat_order_status,0/1016 researched,BLOCKED,S1 filing,S2 official IR,Separate one-off order from repeat/volume signal,source_id + order_type + publication_at,Primary evidence or explicit uncertainty,All 1016 NEEDS_RESEARCH
DESIGN_WIN,design_win_customer_adoption_status,0/1016 researched,BLOCKED,S2 supplier/customer official,S3 customer official and corroborated S7,Do not infer named customer without evidence,source_id + customer_scope + stage + publication_at,Adoption stage and evidence class explicit,All 1016 NEEDS_RESEARCH
FAB_CAPEX,fab_capex_state_status,0/1016 researched,BLOCKED,S3 customer IR/filing,S2 official newsroom then high-quality industrial report,Distinguish announcement/construction/cleanroom/move-in/ramp,source_id + fab_id + stage + publication_at,Stage must be cutoff-safe and linked to company beta,All 1016 NEEDS_RESEARCH
MATERIAL_REFS,latest_material_earnings_guidance_refs,0/1016 researched,BLOCKED,S1-S3 evidence bundle,S7 corroboration only,Store exact references rather than prose-only conclusion,source_id + URL/filing_no + source_hash + publication_at,Every non-missing feature claim must resolve to evidence,All 1016 NEEDS_RESEARCH
EVIDENCE_LINEAGE,evidence_status/source_evidence_ref/publication_at,0/1016 researched; publication_at NULL 1016,BLOCKED,S1-S8 under fixed routing,None,Blinded dual annotation for interpretive fields; preserve pre-adjudication outputs,source bundle hash + annotator/model/prompt/build/temperature/tool-result hash,publication_at must satisfy frozen cutoff rule and available_before_entry must be TRUE,Current sheet lacks access/annotator/model lineage
FRESHNESS,last_verified_observed_at/freshness_staleness,0 verified; 1016 UNKNOWN,BLOCKED,Derived from admitted evidence timestamps,None,Mechanical calculation after evidence admission,observation_at + publication_at + cutoff + freshness rule,No UNKNOWN for released scored field unless abstention rule permits,All 1016 UNKNOWN
MISSINGNESS,all research fields,Semantics only fixed,PROTOCOL_FIXED,SEMI-DATA-ROUTE and Protocol_Registry,None,NOT_FOUND != NOT_COLLECTED != NOT_APPLICABLE; no zero/negative substitution,status + search route + stopping rule + retrieval receipt,Missingness class explicit for every attempted field,No attempted searches recorded in Thin_PIT
ANNOTATION_CONTROL,sidecar annotation/access ledger,0/1016 present,BLOCKED,Source bundle registry plus annotation sidecar,None,Retrieval and outcome roles separated; future outcome/winner/current-success concealment; independent dual coding and adjudication,annotator_or_model_id + prompt/config hash + timestamps + source bundle hash + outcome_access flag,No feature admission without reproducible outcome-blind lineage,Required sidecar absent; do not silently alter canonical schema
