conflict_id,fixture_id,fact_or_field,source_a,source_b,conflict_type,pit_impact,model_input_impact,current_state,resolution_authority,notes
ECR-01,AAA-M3TOP3-GR-FX-01|03|10|11|15,EXACT_U127_UNIVERSE_ELIGIBILITY_RELEASE,U127_CURRENT_LOGICAL_CONTROL_REFERENCE,,NOT_PROVEN_EXACT_RELEASE,BLOCKING_OFFICIAL_BINDING,EXACT_RELEASE_REQUIRED,NOT_PROVEN,AAA-CONTROL-ARCHITECT + validators,Current model semantics recovered; release instance remains missing.
ECR-02,AAA-M3TOP3-GR-FX-03,ZENICS_W1_HISTORICAL_PROVENANCE_PUBLICATION_TIME,U127_HISTORICAL_CONTROL_ZENICS_W1,,EVIDENCE_GAP,PRESERVE_NOT_PROVEN,MUST_NOT_PROMOTE,NOT_PROVEN,Research evidence + Control PIT governance,Current web evidence may not backfill.
ECR-03,AAA-M3TOP3-GR-FX-11,SEMITES_W1_HISTORICAL_EVIDENCE,U127_HISTORICAL_CONTROL_SEMITES_W1,,EVIDENCE_GAP,PRESERVE_NOT_PROVEN,MUST_NOT_PROMOTE,NOT_PROVEN,Research evidence + Control PIT governance,
ECR-04,AAA-M3TOP3-GR-FX-11,SEMITES_W2_PUBLICATION_TIMING,W2_CUTOFF_2024-11-08,DATED_QUALIFYING_EVIDENCE_2024-11-25,TEMPORAL_NON_ADMISSIBILITY,POST_CUTOFF,PROHIBITED_FOR_W2_INPUT,NOT_PROVEN_PRE_CUTOFF_SUPPORT,Research evidence + Control PIT governance,Later evidence cannot repair W2.
ECR-05,ALL_PIT_FIXTURES,PIT_ADMISSION_TARGET_AND_RECEIPT,,,CONTROL_BINDING_MISSING,OFFICIAL_GOLDEN_BLOCKER,ADMISSION_NOT_GRANTED,NOT_PROVEN,AAA-CONTROL-ARCHITECT + validators,
ECR-06,AAA-M3TOP3-GR-FX-15|16,OFFICIAL_GOLDEN_PRICE_RELEASE,RAW SEMI-PRICE-MARCAP-KRX-2024-2026_v1,,RELEASE_BINDING_MISSING,POST_HOC_DOMAIN_ONLY_IN_THIS_PACKAGE,NO_PROMOTION,NOT_PROVEN,AAA-CONTROL-ARCHITECT,Raw dataset identity is proven; official price release is not.
ECR-07,AAA-M3TOP3-GR-FX-15,PROJECT_AUTHORITATIVE_CA_RELEASE_OR_TREATMENT,KIND:20250529000297/11309,,CONTROL_RELEASE_BINDING_MISSING,PUBLICATION_TIMING VERIFIED,EXCLUDED_FROM_MODEL_INPUT_FOR_THIS_FIXTURE,NOT_PROVEN_RELEASE,AAA-CONTROL-ARCHITECT,No adjustment factor invented.
ECR-08,AAA-M3TOP3-GR-FX-16,PRODUCTION_KRX_TRADING_CALENDAR_RELEASE,KRX official trading rules/source pages,post-hoc observed trade date corroboration,RELEASE_IDENTITY_MISSING,CONTROLLED_CALENDAR_FIXTURE_ONLY,EXACT_CALENDAR_BINDING_PENDING,NOT_PROVEN_RELEASE,AAA-CONTROL-ARCHITECT,WM-v1.1 semantics recovered; release instance remains pending.
ECR-09,AAA-M3TOP3-GR-FX-08|09|12|13|14,INDEPENDENT_MODEL_OUTPUT_EXPECTATIONS,Exact current normative model semantics,,EXPECTED_OUTPUT_BINDING_PENDING,NONE,NO_RESEARCH_INVENTION,PENDING_MODEL_BINDING,AAA-MODEL-ARCHITECT,Research supplies controlled inputs; Model must establish score/rank/Top-K expected outputs independently before official result inspection.
ECR-10,PACKAGE,PERSISTENT_RESEARCH_ARTIFACT_PATH_AND_ROUTING_CAPABILITY,AAA-ARTIFACT-STORAGE-CLASS-POLICY,AAA-PAIR-LOCAL-ROUTING-CONTRACT,PERSISTENCE_GOVERNANCE_BLOCK,NONE,NONE,PERSISTENCE_BLOCKED,AAA-CONTROL-ARCHITECT / AAA-PMO-ORCHESTRATOR,No governed Research persistence path may be invented.
