ordinal,mutation_id,generation,control_family,target_path,paired_test_or_probe,matrix_ids,anchor_status
1,MUT-PIT-MISSING-KEY,R-WP4-02-PRESERVED,PIT publication key,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_001_missing_publication_key,,EXACT_ONE_V0_4_1
2,MUT-PIT-NULL,R-WP4-02-PRESERVED,PIT null publication,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_001_null_publication,,EXACT_ONE_V0_4_1
3,MUT-PIT-NAIVE,R-WP4-02-PRESERVED,PIT timezone,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_002_naive_publication_string,,EXACT_ONE_V0_4_1
4,MUT-PIT-AVAILABLE,R-WP4-02-PRESERVED,PIT availability,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_003_not_available_before_entry,,EXACT_ONE_V0_4_1
5,MUT-PIT-CURRENT,R-WP4-02-PRESERVED,PIT current-only,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_004_current_only,,EXACT_ONE_V0_4_1
6,MUT-PIT-CONSUMED-PUB,R-WP4-02-PRESERVED,PIT consumed publication,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_005_consumed_future_row_blocks,,EXACT_ONE_V0_4_1
7,MUT-PIT-CONSUMED-EFFECTIVE,R-WP4-02-PRESERVED,PIT consumed effective date,tools/m3top3/pit_guard.py,tools.m3top3.tests.test_known_failures_pit.KnownFailurePITTests.test_kf_pit_006_consumed_effective_after_cutoff_blocks,,EXACT_ONE_V0_4_1
8,MUT-SNAPSHOT-STATUS,R-WP4-02-PRESERVED,Snapshot READY status,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_snapshot.KnownFailureSnapshotTests.test_kf_snp_002_partial_manifest_blocked_before_scorer,,EXACT_ONE_V0_4_1
9,MUT-SNAPSHOT-BLOCKERS,R-WP4-02-PRESERVED,Snapshot blocker contradiction,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_snapshot.KnownFailureSnapshotTests.test_kf_snp_004_ready_with_blocker_is_contradiction,,EXACT_ONE_V0_4_1
10,MUT-MODEL-HASH,R-WP4-02-PRESERVED,Model input byte hash,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_integrity.KnownFailureIntegrityTests.test_kf_int_002_model_input_valid_json_mutation,,EXACT_ONE_V0_4_1
11,MUT-RETRIEVAL-AUDIT-HASH,R-WP4-02-PRESERVED,Retrieval audit byte hash,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_integrity.KnownFailureIntegrityTests.test_retrieval_audit_valid_json_mutation_is_detected,,EXACT_ONE_V0_4_1
12,MUT-RETRIEVAL-AUDIT-RECONCILIATION,R-WP4-02-PRESERVED,Retrieval count reconciliation,tools/m3top3/admission.py,tools.m3top3.tests.test_r_wp4_03_mutation_isolation.RWP403MutationIsolationTests.test_retrieval_count_reconciliation_guard,,EXACT_ONE_V0_4_1
13,MUT-PRICE-HASH,R-WP4-02-PRESERVED,Price live-byte hash,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_price.KnownFailurePriceTests.test_post_construction_price_byte_mutation_is_rejected_before_read,,EXACT_ONE_V0_4_1
14,MUT-OHLC,R-WP4-02-PRESERVED,OHLC integrity,tools/m3top3/providers.py,tools.m3top3.tests.test_known_failures_price.KnownFailurePriceTests.test_kf_prc_004_high_below_open_or_close,,EXACT_ONE_V0_4_1
15,MUT-RESULT-IMMUTABLE,R-WP4-02-PRESERVED,Result byte immutability,tools/m3top3/ledger.py,tools.m3top3.tests.test_r_wp4_03_mutation_isolation.RWP403MutationIsolationTests.test_immutable_json_artifact_store_rejects_different_payload,,EXACT_ONE_V0_4_1
16,MUT-CLI-BLOCKED,R-WP4-02-PRESERVED,CLI blocked exit,tools/m3top3/cli_run_backtest.py,tools.m3top3.tests.test_known_failures_cli.KnownFailureCLITests.test_kf_cli_001_blocked_tie_returns_two_and_no_output,,EXACT_ONE_V0_4_1
17,MUT-OFFICIAL-GLOBAL-KILL,R-WP4-02-PRESERVED,Official global kill,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_model_admission.KnownFailureModelAdmissionTests.test_kf_mod_002_diagnostic_scorer_denied_in_official_mode,,EXACT_ONE_V0_4_1
18,MUT-PRICE-COMPONENT-MANIFEST,R-WP4-02-PRESERVED,Price component manifest,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_multi_component_manifest_required,,EXACT_ONE_V0_4_1
19,MUT-PRICE-SEMANTICS-ALLOWLIST,R-WP4-02-PRESERVED,Price semantics allowlist,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_price.KnownFailurePriceTests.test_unrecognized_price_semantics_is_fail_closed_at_construction,,EXACT_ONE_V0_4_1
20,MUT-SNAPSHOT-DIRECTORY-IDENTITY,R-WP4-02-PRESERVED,Snapshot directory identity,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_integrity.KnownFailureIntegrityTests.test_hidden_staging_directory_is_not_externally_admissible,,EXACT_ONE_V0_4_1
21,MUT-PIT-MODEL-LINEAGE,R-WP4-02-PRESERVED,PIT/model identity join,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_integrity.KnownFailureIntegrityTests.test_self_consistent_model_pit_identity_forgery_is_rejected,,EXACT_ONE_V0_4_1
22,MUT-RETRIEVAL-INDEPENDENT-RECONSTRUCTION,R-WP4-02-PRESERVED,Retrieval independent reconstruction,tools/m3top3/snapshot.py,tools.m3top3.tests.test_known_failures_snapshot.KnownFailureSnapshotTests.test_exact_provider_instance_method_forgery_is_independently_reconstructed,,EXACT_ONE_V0_4_1
23,MUT-SNAPSHOT-PREPUBLISH-VERIFY,R-WP4-02-PRESERVED,Snapshot prepublish verification,tools/m3top3/snapshot.py,tools.m3top3.tests.test_known_failures_snapshot.KnownFailureSnapshotTests.test_duplicate_company_slice_is_verified_before_publish,,EXACT_ONE_V0_4_1
24,MUT-RESULT-EXCLUSIVE-CREATE,R-WP4-02-PRESERVED,Result exclusive create,tools/m3top3/ledger.py,tools.m3top3.tests.test_known_failures_immutability.KnownFailureImmutabilityTests.test_concurrent_different_payloads_cannot_both_append_or_overwrite,,EXACT_ONE_V0_4_1
25,MUT-LEDGER-LIVE-RECHECK,R-WP4-02-PRESERVED,Ledger locked live recheck,tools/m3top3/ledger.py,tools.m3top3.tests.test_known_failures_immutability.KnownFailureImmutabilityTests.test_two_ledger_instances_cannot_append_conflicting_same_identity,,EXACT_ONE_V0_4_1
26,MUT-LEDGER-BEFORE-RESULT,R-WP4-02-PRESERVED,Ledger admission before result,tools/m3top3/backtest.py,tools.m3top3.tests.test_r_wp4_03_mutation_isolation.RWP403MutationIsolationTests.test_prediction_ledger_append_precedes_result_publish,,EXACT_ONE_V0_4_1
27,MUT-STAGING-ENUMERATION,R-WP4-02-PRESERVED,CLI staging exclusion,tools/m3top3/cli_run_backtest.py,tools.m3top3.tests.test_known_failures_cli.KnownFailureCLITests.test_hidden_staging_snapshot_directory_is_not_enumerated,,EXACT_ONE_V0_4_1
28,MUT-PRICE-LINEAGE,R-WP4-02-PRESERVED,Snapshot/outcome price lineage,tools/m3top3/backtest.py,tools.m3top3.tests.test_known_failures_integrity.KnownFailureIntegrityTests.test_snapshot_and_outcome_price_lineage_mismatch_is_rejected,,EXACT_ONE_V0_4_1
29,MUT-PARQUET-PREQUERY-ADMISSION,R-WP4-02-PRESERVED,Parquet prequery admission,tools/m3top3/providers.py,tools.m3top3.tests.test_known_failures_price.KnownFailurePriceTests.test_parquet_hash_mismatch_blocks_before_connect_or_query,,EXACT_ONE_V0_4_1
30,MUT-PIT-PRICE-DATASET-BINDING,R-WP4-02-PRESERVED,PIT price dataset binding,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_pit_price_ref_identity_binding,,EXACT_ONE_V0_4_1
31,MUT-SNAPSHOT-TARGET-EXCLUSIVE,R-WP4-02-PRESERVED,Snapshot target create-only,tools/m3top3/snapshot.py,tools.m3top3.tests.test_known_failures_immutability.KnownFailureImmutabilityTests.test_empty_concurrent_snapshot_target_is_not_replaced,,EXACT_ONE_V0_4_1
32,MUT-SNAPSHOT-MANIFEST-LAST,R-WP4-02-PRESERVED,Snapshot manifest-last,tools/m3top3/snapshot.py,tools.m3top3.tests.test_known_failures_immutability.KnownFailureImmutabilityTests.test_snapshot_manifest_is_published_last,,EXACT_ONE_V0_4_1
33,MUT-STAGING-RACE-CLASSIFICATION,R-WP4-02-PRESERVED,Snapshot race classification,tools/m3top3/snapshot.py,tools.m3top3.tests.test_known_failures_immutability.KnownFailureImmutabilityTests.test_staging_mkdir_race_is_classified_integrity_collision,,EXACT_ONE_V0_4_1
34,MUT-R03-OFFICIAL-GOLDEN-REPLAY-LOCK,R-WP4-03-NEW,Official/Golden/Replay claim locks,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_claim_locks,CLM-003|CLM-004|CLM-005,EXACT_ONE_V0_4_1
35,MUT-R03-UNIVERSE-LIVE-INDEPENDENT-MANIFEST,R-WP4-03-NEW,Universe live independent manifest,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_lineage_universe.KnownFailureCanonicalLineageAndUniverseTests.test_jsonl_manifest_live_byte_drift_is_rejected,UNI-001|UNI-014|LIN-004|LIN-010,EXACT_ONE_V0_4_1
36,MUT-R03-PATH-INDEPENDENT-COMPONENT-DIGEST,R-WP4-03-NEW,Path-independent component digest,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_component_digest_is_path_independent,LIN-007|LIN-009,EXACT_ONE_V0_4_1
37,MUT-R03-UNIVERSE-DENOMINATOR-SET,R-WP4-03-NEW,Universe/denominator exact-set equality,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_universe_runtime_slice_exact,UNI-006|UNI-007|UNI-008,EXACT_ONE_V0_4_1
38,MUT-R03-PARTITION-DIGESTS,R-WP4-03-NEW,Eligible/ineligible/partition digests,tools/m3top3/admission.py,tools.m3top3.tests.test_r_wp4_03_mutation_isolation.RWP403MutationIsolationTests.test_partition_digest_guard_at_snapshot_level,UNI-010|UNI-011,EXACT_ONE_V0_4_1
39,MUT-R03-DATASET-REF-ONE-TO-ONE,R-WP4-03-NEW,Row-level dataset refs one-to-one,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_dataset_refs_one_to_one,REF-001|REF-002|REF-003|REF-004|REF-005|REF-006|REF-007|REF-008,EXACT_ONE_V0_4_1
40,MUT-R03-STATUS-DATE-REVISION-COHERENCE,R-WP4-03-NEW,Status/date/revision coherence,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_revision_tuple_coherence,LIN-008|UNI-009|UNI-012|SNP-004|SNP-005B,EXACT_ONE_V0_4_1
41,MUT-R03-FULL-U-SNAPSHOT-SETS,R-WP4-03-NEW,Full applicable U snapshot sets,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_lineage_universe.KnownFailureCanonicalLineageAndUniverseTests.test_self_consistent_subset_of_snapshot_rows_is_rejected,SNP-001|SNP-002|SNP-002B|SNP-003,EXACT_ONE_V0_4_1
42,MUT-R03-EXACT-DIAGNOSTIC-SCORER,R-WP4-03-NEW,Exact diagnostic scorer identity,tools/m3top3/admission.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_diagnostic_scorer_config_exact,SCR-001|SCR-002|SCR-003,EXACT_ONE_V0_4_1
43,MUT-R03-RUN-LINEAGE-IDENTITY,R-WP4-03-NEW,Validation-run lineage identity,tools/m3top3/backtest.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_validation_run_id_binding,SCR-005,EXACT_ONE_V0_4_1
44,MUT-R03-FULL-U-SCORER-OUTPUT,R-WP4-03-NEW,Full scorer-output U completeness,tools/m3top3/backtest.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_scoring_full_u_missing_member,RNK-001|RNK-002|RNK-003|RNK-004,EXACT_ONE_V0_4_1
45,MUT-R03-RANK-SET-SEQUENCE-TOP3,R-WP4-03-NEW,Full rank set/sequence/Top3,tools/m3top3/backtest.py,tools.m3top3.tests.test_r_wp4_03_matrix.RWP403MatrixTests.test_matrix_rnk_006,RNK-005|RNK-006|RNK-007,EXACT_ONE_V0_4_1
46,MUT-R03-FULL-OUTCOME-SET,R-WP4-03-NEW,Full outcome-set persistence,tools/m3top3/backtest.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_full_outcome_set_persistence,OUT-001|OUT-002|OUT-003|OUT-004|OUT-005,EXACT_ONE_V0_4_1
47,MUT-R03-METRIC-DENOMINATOR,R-WP4-03-NEW,Metric denominator integrity,tools/m3top3/backtest.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_metric_denominator_integrity,OUT-006|OUT-007,EXACT_ONE_V0_4_1
48,MUT-R03-FULL-LEDGER-COMPLETENESS,R-WP4-03-NEW,Full ranking/ledger completeness,tools/m3top3/ledger.py,tools.m3top3.tests.run_r_wp4_03_mutation_checks.MutationSemanticProbeTests.test_full_ledger_ranked_count,RNK-008|OUT-001|IMM-002,EXACT_ONE_V0_4_1
49,MUT-R03-ZERO-WORK-ACCOUNTING,R-WP4-03-NEW,Zero-work/nonzero-exit accounting,tools/m3top3/admission.py,tools.m3top3.tests.test_known_failures_cli.KnownFailureCLITests.test_backtest_zero_snapshot_directories_is_blocked_not_success,UNI-013|CLI-001|CLI-002|CLI-003,EXACT_ONE_V0_4_1
50,MUT-R03-FULL-RESULT-IMMUTABLE-MANIFEST-LAST,R-WP4-03-NEW,Full-result immutable manifest-last,tools/m3top3/ledger.py,tools.m3top3.tests.test_r_wp4_03_ledger_v02.FullRunArtifactStoreV02Tests.test_commit_manifest_is_admitted_last,IMM-001|IMM-003|IMM-004|IMM-005,EXACT_ONE_V0_4_1
51,MUT-R03-EXTRA-LINEAGE-COMPONENT,R-WP4-03-NEW,Manifest-only extra lineage component,tools/m3top3/admission.py,tools.m3top3.tests.test_r_wp4_03_matrix.RWP403MatrixTests.test_matrix_lin_006,LIN-006,EXACT_ONE_V0_4_1
52,MUT-R03-ELIGIBILITY-RELEASE-COMPLETE,R-WP4-03-NEW,Terminal eligibility release admission,tools/m3top3/admission.py,tools.m3top3.tests.test_r_wp4_03_matrix.RWP403MatrixTests.test_matrix_uni_009,UNI-009,EXACT_ONE_V0_4_1
53,MUT-R03-OUTCOME-COMPONENT-LINEAGE,R-WP4-03-NEW,Independent outcome component lineage,tools/m3top3/backtest.py,tools.m3top3.tests.test_r_wp4_03_matrix.RWP403MatrixTests.test_matrix_ref_007,REF-007,EXACT_ONE_V0_4_1
54,MUT-R03-IMMUTABLE-RELEASE-COLLISION,R-WP4-03-NEW,Persistent release identity immutability,tools/m3top3/ledger.py,tools.m3top3.tests.test_r_wp4_03_matrix.RWP403MatrixTests.test_matrix_imm_001,IMM-001,EXACT_ONE_V0_4_1
