PRIORITY,REVIEW_SET,OBJECT_ID,ORIGIN_OBJECT_ID,SHORT_STATEMENT,CORPUS_GROUP,CLASS_CURRENT,SOURCE,SOURCE_LEVEL,CURRENT_STATUS,CANDIDATE_RELATIONS,TAGGING_QUESTIONS
1,foundational worldview/design intent,CX-LIVE-BRAINSTORM-0041,ASA-MI-H-EVAL-001,PERCEIVED_REALISM != REALITY_FIDELITY,D_LIVE_BRAINSTORM_AS_IS,WORKING_HYPOTHESIS,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-H-EVAL-001,LIVE_REPOSITORY_RESEARCH_RECORD,CURRENT_STRONG_CANDIDATE,<-REFINED_BY:CX-SRC-SRC-R1-0042,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
1,foundational worldview/design intent,CX-LIVE-WORLDVIEW-0001,WORLDVIEW-W-01,Reality precedes the current model,D_LIVE_BRAINSTORM_AS_IS,PHILOSOPHICAL_GROUNDING,control/research/asa-mi/foundational-worldview/v0.1/AAA_ASA_MI_FOUNDATIONAL_WORLDVIEW_v0.1.md#W-01,LIVE_REPOSITORY_RESEARCH_RECORD,ACTIVE_UNCONFIRMED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
1,foundational worldview/design intent,CX-SRC-META-0012,PL-003,User-defined meaning is not user-defined reality.,C_EXISTING_SOURCE_NORMALIZED_AS_IS,PRINCIPLE,control/research/asa-mi/source-normalized-drafts/v0.1/11_ADDITIONAL_SOURCE_OBJECTS_AND_PARKING_LOT.md#PL-003,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
1,foundational worldview/design intent,CX-SRC-SRC-WP2-0001,SN-WP2-PC-001,Reality > Current Interpretation > Implementation Hypothesis > Protocol Commitment,C_EXISTING_SOURCE_NORMALIZED_AS_IS,PRINCIPLE,control/research/asa-mi/source-normalized-drafts/v0.1/02_WHITEPAPER_SOURCE_OBJECTS.md#SN-WP2-PC-001,SECONDARY_NORMALIZED_SOURCE,NOT_YET_TAGGED,GROUNDED_BY->CX-LIVE-BRAINSTORM-0002,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?; DO_WE_NEED_RAW_SOURCE_REVIEW?
2,Identity–Memory,CX-INF-0005,,A functional Memory model assumes Context identity and equality can be made operationally meaningful.,E_CODEX_MINED_TO_BE_DRAFT,IMPLICIT_ASSUMPTION,codex-inferred/objects.jsonl,CODEX_INFERENCE,NOT_YET_TAGGED,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-INF-0008,,"Reference-memory migration test: preserve locator identity, snapshot identity, and target-content identity separately across target mutation.",E_CODEX_MINED_TO_BE_DRAFT,EXPERIMENT_IDEA,codex-inferred/objects.jsonl,CODEX_INFERENCE,NOT_YET_TAGGED,TESTS->CX-LIVE-BRAINSTORM-0012,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-BRAINSTORM-0017,ASA-MI-H-006,STORAGE_LOCATION != MEMORY_IDENTITY,D_LIVE_BRAINSTORM_AS_IS,WORKING_HYPOTHESIS,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-H-006,LIVE_REPOSITORY_RESEARCH_RECORD,CURRENT_STRONG_CANDIDATE,STRENGTHENS->CX-LIVE-BRAINSTORM-0019,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-BRAINSTORM-0050,ASA-MI-OQ-REF-001,Reference identity vs target-content identity vs snapshot identity?,D_LIVE_BRAINSTORM_AS_IS,CS_PRIOR,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-OQ-REF-001,LIVE_REPOSITORY_RESEARCH_RECORD,CS_PRIOR_PENDING,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-BRAINSTORM-0052,ASA-MI-OQ-VERS-001,Update-in-place vs successor/version identity semantics?,D_LIVE_BRAINSTORM_AS_IS,CS_PRIOR,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-OQ-VERS-001,LIVE_REPOSITORY_RESEARCH_RECORD,CS_PRIOR_PENDING,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
2,Identity–Memory,CX-LIVE-BRAINSTORM-0064,ASA-MI-OQ-IDENTITY-001,"Is Memory necessary, sufficient, primary, or merely one substrate for Persona identity?",D_LIVE_BRAINSTORM_AS_IS,OPEN_QUESTION,control/research/asa-mi/brainstorm-registry/v0.1/AAA_ASA_MI_BRAINSTORM_HYPOTHESIS_PRINCIPLE_REGISTRY_v0.1.md#ASA-MI-OQ-IDENTITY-001,LIVE_REPOSITORY_RESEARCH_RECORD,OPEN,,IS_THIS_CURRENTLY_PREFERRED?; IS_THIS_STILL_ACTIVE?; IS_THIS_SOURCE_ONLY?; WHAT_DOES_IT_SUPPORT_OR_CONTRADICT?
