mapping_id,legacy_doc,legacy_field,legacy_semantics,target_object,target_field_or_concept,canonical_status,transformation_type,semantic_change,override_reference,notes
MAP-0001,SEMI-EVAL-CORE,__DOCUMENT__,Rule + model methodology,EVAL-CORE; MODEL-DEFINITION; SCORE-COMPONENT-DEFINITION,rule/model/component definitions,CANONICAL,STRUCTURAL_SPLIT,NO — storage-boundary change only,Architecture Model/PIT split,Existing weights/Trigger/β/Maturity preserved.
MAP-0002,SEMI-DATA-ROUTE v1.1,__DOCUMENT__,Routing/refresh + F3 observation + legacy PIT/output + validation,DATA-ROUTE; OBSERVATION; MODEL-SCORE interpretation; VALIDATION protocol,split rule and data-boundary semantics,CANONICAL,STRUCTURAL_SPLIT,NO — storage-boundary change only,Override A/E,MIXED source must be decomposed.
MAP-0003,SEMI-SOURCE-INDEX,__DOCUMENT__,Retrieval rule + locator registry,DATA-ROUTE; COMPANY-IDENTITY; SOURCE-REGISTRY,rule + locator split,CANONICAL,STRUCTURAL_SPLIT,NO — storage-boundary change only,,LLM index may later be GENERATED.
MAP-0004,SEMI-PIT-LEDGER,__DOCUMENT__,Legacy combined Snapshot+Evidence+Interpretation+Score+Validation,PIT-SNAPSHOT; EVIDENCE; MODEL-SCORE; MODEL-SCORE-COMPONENT; VALIDATION,decoupled objects,CANONICAL,STRUCTURAL_SPLIT,NO — storage-boundary change only,Override A/B/E,Legacy key is not reused.
MAP-0005,SEMI-UNIVERSE,__DOCUMENT__,Current U46 + historical eligibility intent,UNIVERSE-RELEASE; OPERATIONAL-UNIVERSE-HISTORY; TRADABILITY-HISTORY,separate current release / actual operational history / tradability,CANONICAL,STRUCTURAL_SPLIT,NO — storage-boundary change only,Override C,Later reconstructed/expanded backtest uses separate release + new run.
MAP-0006,marcap-2024/2025/2026,__DOCUMENT__,Provider raw yearly price datasets,PRICE-RAW,RAW_IMMUTABLE preserved input,RAW_IMMUTABLE / NON-CANONICAL,COPY_AS_IS,NO,,PRICE-CANONICAL is separate future output after normalization/audit.
MAP-0007,TOP38 v2.2 Detail,__DOCUMENT__,Legacy 12M methodology + 38 scores,MODEL-DEFINITION; historical MODEL-SCORE DEFERRED,methodology now; score promotion later,CANONICAL / DEFERRED,STRUCTURAL_SPLIT,NO — storage-boundary change only,,MODEL-SCORE requires valid PIT-SNAPSHOT binding.
MAP-0008,SEMI-COMPANY-MASTER,company_id,stable identifier,COMPANY-IDENTITY,company_id,CANONICAL,DIRECT,NO,,immutable identity
MAP-0009,SEMI-COMPANY-MASTER,회사명,current canonical name,COMPANY-IDENTITY,canonical_name/history,CANONICAL,NORMALIZE,NO,,name changes not silently overwritten
MAP-0010,SEMI-COMPANY-MASTER,영문명,identity attr,COMPANY-IDENTITY,english_name,CANONICAL,DIRECT,NO,,
MAP-0011,SEMI-COMPANY-MASTER,KRX code,security identifier,COMPANY-IDENTITY,krx_code,CANONICAL,DIRECT,NO,,
MAP-0012,SEMI-COMPANY-MASTER,시장,listing identity attr,COMPANY-IDENTITY,market,CANONICAL,NORMALIZE,NO,,
MAP-0013,SEMI-COMPANY-MASTER,DART corp id,official locator,COMPANY-IDENTITY,dart_corp_id,CANONICAL,PRESERVE_STATUS,NO,,NOT_FOUND preserved
MAP-0014,SEMI-COMPANY-MASTER,상장일,listing metadata,COMPANY-IDENTITY,listing_date,CANONICAL,PRESERVE_STATUS,NO,,NOT_FOUND preserved
MAP-0015,SEMI-COMPANY-MASTER,과거명 / aliases,alias history,COMPANY-IDENTITY,aliases,CANONICAL,NORMALIZE_COLLECTION,NO,,
MAP-0016,SEMI-COMPANY-MASTER,DART/KIND 검색 식별자,retrieval locator,SOURCE-REGISTRY,locator/query,CANONICAL,SPLIT,NO — storage-boundary change only,,
MAP-0017,SEMI-COMPANY-MASTER,공식 홈페이지,official locator/source,SOURCE-REGISTRY,official locator,CANONICAL,SPLIT,NO — storage-boundary change only,,
MAP-0018,SEMI-COMPANY-MASTER,IR 페이지 / Newsroom,official locator/source,SOURCE-REGISTRY,official locator,CANONICAL,SPLIT,NO — storage-boundary change only,,
MAP-0019,SEMI-COMPANY-MASTER,주요 고객 공식자료 경로,retrieval route,SOURCE-REGISTRY; DATA-ROUTE,customer source route,CANONICAL,SPLIT,NO — storage-boundary change only,,
MAP-0020,SEMI-COMPANY-MASTER,Business Type [R1],structural business classification,COMPANY-STRUCTURE-HISTORY,business_type,CANONICAL,HISTORY_SEED,NO,,R1→STRUCTURE
MAP-0021,SEMI-COMPANY-MASTER,Core Product [R1],structural product baseline,COMPANY-STRUCTURE-HISTORY,core_product,CANONICAL,HISTORY_SEED,NO,,R1→STRUCTURE
MAP-0022,SEMI-COMPANY-MASTER,Process Position [R1],structural process position,COMPANY-STRUCTURE-HISTORY,process_position,CANONICAL,HISTORY_SEED,NO,,R1→STRUCTURE
MAP-0023,SEMI-COMPANY-MASTER,Primary / Secondary β [R1/R2],durable β transmission structure,COMPANY-STRUCTURE-HISTORY,beta exposure baseline,CANONICAL,HISTORY_SEED,NO,,Structure baseline; event-driven activation is separate state/feature.
MAP-0024,SEMI-COMPANY-MASTER,Equipment Entry Timing [R1],structural Fab-cycle position,COMPANY-STRUCTURE-HISTORY,entry_timing,CANONICAL,HISTORY_SEED,NO,,R1→STRUCTURE
MAP-0025,SEMI-COMPANY-MASTER,Recurring Model [R1/R2],recurring revenue archetype + time-varying intensity,COMPANY-STRUCTURE-HISTORY; COMPANY-STATE-HISTORY,structural recurring model + effective state,CANONICAL,SPLIT_BY_SEMANTICS,NO — storage-boundary change only,,Baseline→STRUCTURE; current mix/intensity changes→STATE.
MAP-0026,SEMI-COMPANY-MASTER,Installed Base 구조 [R2],changeable accumulated installed base,COMPANY-STATE-HISTORY,installed_base state,CANONICAL,STATE_SEED,NO,,R2→STATE
MAP-0027,SEMI-COMPANY-MASTER,Qualification Barrier [R2],slow-moving moat state,COMPANY-STATE-HISTORY,qualification_barrier state,CANONICAL,STATE_SEED,NO,,R2→STATE
MAP-0028,SEMI-COMPANY-MASTER,Switching Cost [R2],slow-moving customer/vendor switching state,COMPANY-STATE-HISTORY,switching_cost state,CANONICAL,STATE_SEED,NO,,R2→STATE
MAP-0029,SEMI-COMPANY-MASTER,Process Criticality [R1/R2],baseline importance + effective application-specific change,COMPANY-STRUCTURE-HISTORY; COMPANY-STATE-HISTORY,criticality baseline + effective state,CANONICAL,SPLIT_BY_SEMANTICS,NO — storage-boundary change only,,Baseline→STRUCTURE; event-driven effective change→STATE.
MAP-0030,SEMI-COMPANY-MASTER,IP / Recipe Dependency [R2],current IP/recipe dependency state,COMPANY-STATE-HISTORY,ip_recipe_dependency state,CANONICAL,STATE_SEED,NO,,R2→STATE
MAP-0031,SEMI-COMPANY-MASTER,Customer Structure [R2],customer structure state,COMPANY-STATE-HISTORY,customer_structure,CANONICAL,STATE_SEED,NO,,R2→STATE
MAP-0032,SEMI-COMPANY-MASTER,Overseas Exposure [R2],overseas customer/fab application state,COMPANY-STATE-HISTORY,overseas_exposure,CANONICAL,STATE_SEED,NO,,R2→STATE
MAP-0033,SEMI-COMPANY-MASTER,Manufacturing Capacity [R2/RE],capacity/expansion/bottleneck state,COMPANY-STATE-HISTORY,manufacturing_capacity state,CANONICAL,STATE_SEED,NO,,R2/RE→STATE
MAP-0034,SEMI-COMPANY-MASTER,Substitution Risk [R2/RE],competition/substitution/customer-loss state,COMPANY-STATE-HISTORY,substitution_risk state,CANONICAL,STATE_SEED,NO,,R2/RE→STATE
MAP-0035,SEMI-COMPANY-MASTER,Future Tech Tags [R1/R2],structural exposure + active adoption/maturity,COMPANY-STRUCTURE-HISTORY; COMPANY-STATE-HISTORY,tech exposure baseline + active state,CANONICAL,SPLIT_BY_SEMANTICS,NO — storage-boundary change only,,Structure exposure vs adoption/maturity state.
MAP-0036,SEMI-COMPANY-MASTER,Refresh,refresh semantics,DATA-ROUTE,refresh rule reference,CANONICAL,DETACH_RULE,NO,,
MAP-0037,SEMI-COMPANY-MASTER,FACT block,source-derived support,EVIDENCE,SOURCE_DERIVED,CANONICAL,SPLIT,NO,,
