admission_item,component_or_axis,expected_bytes,record_count,expected_sha256,current_named_path,current_byte_status,current_sha256,workbook_claim,admission_decision,required_closure
PRICE_INTERFACE,standalone manifest,,,56d36d51e9f7b8870aa75cc41ee241603f6cf7446cb2386187c6ebcbb88b73c4,/workspace/scratch/577256efb437/project_sources/10-SEMI-PRICE-LEDGER_IMPORT-MANIFEST_v1.0.csv,PRESENT_DIFFERENT_LEGACY_MANIFEST,ca8f117a83cd3da800a2a2b5e0ebdca3c89ff658ff3fd21b5083e4aae9ab98ce,NOT_RECOMPUTED_NO_MANIFEST_FILE,BLOCKED,Materialize exact standalone SEMI-PRICE-MARCAP-KRX-2024-2026_v1 interface manifest bytes and verify its hash
PRICE_COMPONENT,marcap-2024.parquet,24572111,,b0c38943e67637d5faf88429880092cf0f46a394be39860dd3bcd0b04231bccb,,ABSENT_IN_CURRENT_NAMED_INPUTS,,ATTACHED_BYTES_AVAILABLE / MATERIALIZED_VERIFIED,BLOCKED,Supply exact named 2024 bytes and recompute SHA256 in current execution surface
PRICE_COMPONENT,marcap-2025.parquet,25153419,,2bfd93c217eb74263bc5020b23fa6debb6b02531c11eaccc2826639bc191559e,/workspace/scratch/577256efb437/project_sources/16-marcap-2025.parquet,PRESENT_AND_HASH_MATCH,2bfd93c217eb74263bc5020b23fa6debb6b02531c11eaccc2826639bc191559e,ATTACHED_BYTES_AVAILABLE / MATERIALIZED_VERIFIED,PASS_CURRENT_BYTE_IDENTITY,Retain immutable bytes; run schema/calendar/zero-OHL/CA audit in admitted runtime
PRICE_COMPONENT,marcap-2026.parquet,16198533,,5da710a2fc56f8fe9b1f5126295cc30c3b15c0ee35d28ba808a505ec4a2243c1,,ABSENT_IN_CURRENT_NAMED_INPUTS,,ATTACHED_BYTES_AVAILABLE / MATERIALIZED_VERIFIED,BLOCKED,Supply exact named 2026 bytes and recompute SHA256 in current execution surface
PRICE_DERIVATION,full-rank reconstruction,,979,bfd7be376dc86a9b6d703ddfbcefd4acd47ad7f94d31e9db0b00f4884d0c84ae,U127 workbook Price_Full_Rank_Reval!A2:Q980,WORKBOOK_ROWS_PRESENT_CSV_PAYLOAD_ABSENT,,PRELIMINARY_PRICE_REVALIDATION_CA_PROTOCOL_CORRECTED / NOT_OFFICIAL_ELIGIBILITY,BLOCKED_FOR_OFFICIAL_USE,Locate immutable full-rank CSV payload and verify hash; wait for frozen denominator
CA_SIGNAL,Stocks-count discontinuity,,24,,U127 workbook CA_Audit_Signals!A2:S25,PRESENT,,24/24 PASS,PASS,Preserve adjudications and evidence locators
CA_EVIDENCE,action records,,11,,U127 workbook Corporate_Actions!A2:R12,PRESENT,,11 evidence audits PASS,PASS_RECORD_LEVEL,Preserve append-only audit differences for HLB이노베이션 and preliminary rank differences
CA_COMPLETENESS,A stock-count signal axis,,24,,U127 workbook Protocol_Registry!A39:D39,CLOSED,,CA_SIGNAL_ADJUDICATION 24/24 PASS,PASS,None
CA_COMPLETENESS,B material OHLC discontinuity sweep,,,,U127 workbook Protocol_Registry!A42:D44,OPEN,,not deterministically closed,BLOCKED,Run exhaustive material OHLC discontinuity scan over all three frozen yearly byte components
CA_COMPLETENESS,C known-KRX unit/comparable-price omission sweep,,,,U127 workbook Protocol_Registry!A42:D44,OPEN,,not proven exhaustive,BLOCKED,Run exhaustive KRX comparable-price/unit-change omission sweep and reconcile to daily ledger
PRICE_PROTOCOL,W6 and W8 preliminary comparison,,,,U127 workbook Price_Reval_Summary!A7:I7 and A9:I9,DIFF_CA_PROTOCOL,,Top10 and Top20 differ under corrected protocol,ACCEPT_AS_AUDIT_DIFFERENCE_NOT_TUNING,Preserve preliminary baseline; do not tune corrected protocol toward it
