inventory_id,filename,file_size,sha256,legacy_doc_id,legacy_version,captured_at,availability_status
INV-001,Semi_Eval_Core_v1.0_2026-08-14.docx,48851,3a8c70df26dee0b3c1430846cd9934aa237fd2075f322d78d899ed8cb81acc54,SEMI-EVAL-CORE,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-002,Semi_Data_Route_v1.1_2026-08-14.docx,49660,508f98e88c150ceb751db2227727db529eb04da467c53a6eed5278ca5e17aa02,SEMI-DATA-ROUTE,v1.1,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-003,Semi_Data_Route_v1.0_2026-08-14.docx,,,SEMI-DATA-ROUTE,v1.0,2026-08-14T21:30:00+09:00,PROJECT_SEARCH_REFERENCE_ONLY_HASH_UNAVAILABLE
INV-004,Semi_Universe_v1.0_2026-08-14.docx,42132,eef313bc71bd0a5cb019f92e43e1bf38c2a63633bb847320d1cb4c8fe4ea9023,SEMI-UNIVERSE,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-005,SEMI-COMPANY-MASTER_v0.1.docx,57619,03842717f3bb6815610541496b1f5dadfd44a0e277dc9364c5632cbfb5520cd6,SEMI-COMPANY-MASTER,v0.1,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-006,SEMI-FAB-MASTER_v1.0_2026-08-14.docx,47640,528d1a59ac5b6796b95f70605675f273d80ef744da8d6460da60204d3cff4159,SEMI-FAB-MASTER,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-007,SEMI-SOURCE-INDEX_v1.0.docx,40850,2131ebe6724a8c2d235e7e6f06d4fdde2819ab460bd5c907e2f7ca32e02dac46,SEMI-SOURCE-INDEX,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-008,SEMI-PIT-LEDGER_v1.0.docx,38985,acde50e7090382e95cc585227c4dd52df6b3f342258b6debfa0aabb7db94006a,SEMI-PIT-LEDGER,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-009,SEMI-PRICE-LEDGER_v1.0_SCHEMA.csv,219,67c8633579c3b624ffa2254bdf4173f205b1617b64ed960b9b1e200bc1e01c25,NOT_DECLARED,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-010,SEMI-PRICE-LEDGER_IMPORT-MANIFEST_v1.0.csv,763,ca8f117a83cd3da800a2a2b5e0ebdca3c89ff658ff3fd21b5083e4aae9ab98ce,NOT_DECLARED,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-011,SEMI-PRICE-LEDGER_v1.0_INGEST-AUDIT_BLOCKED_2026-08-14.csv,20209,6e8d0eabbd4cafaf8f3073528a3d75c7ec15713a4efa27ba5308a176776e0728,NOT_DECLARED,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-012,marcap-2024.parquet,24572111,b0c38943e67637d5faf88429880092cf0f46a394be39860dd3bcd0b04231bccb,N/A,provider dataset,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-013,marcap-2025.parquet,25153419,2bfd93c217eb74263bc5020b23fa6debb6b02531c11eaccc2826639bc191559e,N/A,provider dataset,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-014,marcap-2026.parquet,16198533,5da710a2fc56f8fe9b1f5126295cc30c3b15c0ee35d28ba808a505ec4a2243c1,N/A,provider dataset,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-015,Samsung_Semiconductor_Future_Technology_Platform_Map_v1.1_2026-08-09.docx,58716,b3d011c16cc3bd33ffd5235f2f2af93bbc7d4ed5affb407cbe5ec635ee32f087,NOT_DECLARED,v1.1,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-016,Future_Semiconductor_System_Architecture_Memory_Manufacturing_Map_v1.0_2026-08-10.docx,63244,99e4a200921fa44cbc8792f64705efccf7ff2c79e7e91fc1f425d9bfc559395e,NOT_DECLARED,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-017,Korea_Semiconductor_Equipment_CAPEX_Early_Revenue_Response_Map_v1.0_2026-08-11.docx,46162,4871de83a6c6ce6bc0fdbf0e0779731e11225d3284505a1c7b7ea00d3d348909,NOT_DECLARED,v1.0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-018,SK_Hynix_CAPEX_Korea_Equipment_Ecosystem_Report_v0_2026-08-14.docx,45329,2d160445a9726d69e257299d67a699e4874e4e4d39d1acecfb36466cf6ac5e4b,NOT_DECLARED,v0,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
INV-019,Korea_Semiconductor_SupplyChain_TOP38_Master_Scorecard_v2.2_Detail_2026-08-14.docx,53141,e41b02dcb642f72b447c6c468c6d590e19aff468e6bc99413b7da5ef0cde6300,NOT_DECLARED,v2.2 Detail,2026-08-14T21:30:00+09:00,AVAILABLE_LOCAL_HASHED
