test_id,priority,area,current_target,current_exposure_at_head,required_assertion,expected_exit,target_test_file,patch_target,current_lock_state
KF-PIT-001,P0,PIT admission,tools/m3top3/pit_guard.py:PITGuard.validate_publication+validate_model_input,"None returns no violation and null fields are skipped","MISSING_PUBLICATION_AT; zero model-input output",2,tools/m3top3/tests/test_known_failures_pit.py,tools/m3top3/pit_guard.py,RED_SPECIFIED_NOT_RUN
KF-PIT-002,P0,PIT admission,tools/m3top3/core.py:parse_datetime + pit_guard.py:validate_model_input,"Naive time raises only in some paths; provider can fail without stable classification","INVALID_PUBLICATION_DATETIME; no timezone coercion",2,tools/m3top3/tests/test_known_failures_pit.py,tools/m3top3/pit_guard.py,RED_SPECIFIED_NOT_RUN
KF-PIT-003,P0,PIT admission,tools/m3top3/pit_guard.py:PITGuard.validate_model_input,"available_before_entry is not checked","NOT_AVAILABLE_BEFORE_ENTRY",2,tools/m3top3/tests/test_known_failures_pit.py,tools/m3top3/pit_guard.py,RED_SPECIFIED_NOT_RUN
KF-PIT-004,P0,PIT admission,tools/m3top3/pit_guard.py:PITGuard.validate_model_input,"current_only is detected but downstream builder catches and continues","CURRENT_ONLY_FIELD_IN_HISTORY blocks snapshot",2,tools/m3top3/tests/test_known_failures_pit.py,tools/m3top3/pit_guard.py|tools/m3top3/snapshot.py,RED_SPECIFIED_NOT_RUN
KF-PIT-005,P0,Raw retrieval audit,tools/m3top3/providers.py:JsonlFeatureProvider.records_at+InMemoryFeatureProvider.records_at,"raw longitudinal future publication/effective rows are excluded but no deterministic inclusion/exclusion audit receipt is returned; CA-observation selection is not explicit","RAW_SOURCE_FUTURE_ROW_EXCLUDED_WITH_AUDIT: eligible rows admitted; future publication/effective/CA rows excluded; source=included+excluded; stable row locators/reasons/cutoff/provider/receipt hash; raw-source presence alone does not block",0,tools/m3top3/tests/test_known_failures_pit.py,tools/m3top3/providers.py|tools/m3top3/snapshot.py,RED_SPECIFIED_NOT_RUN
KF-PIT-006,P0,Consumed-slice PIT firewall,tools/m3top3/pit_guard.py:PITGuard.validate_model_input+assert_model_inputs,"publication checks exist for non-null values and CA observation is checked; effective_at is not guarded and provider bypass can deliver an incompletely checked consumed slice","CONSUMED_SLICE_FUTURE_ROW_BLOCKED: publication/effective/CA future row hard-fails with PIT_PUBLICATION_AFTER_CUTOFF or PIT_EFFECTIVE_AFTER_CUTOFF or POST_SNAPSHOT_CA_KNOWLEDGE; zero model-input/score/ledger/result writes",2,tools/m3top3/tests/test_known_failures_pit.py,tools/m3top3/pit_guard.py|tools/m3top3/snapshot.py,RED_SPECIFIED_NOT_RUN
KF-SNP-001,P0,Snapshot firewall,tools/m3top3/snapshot.py:SnapshotBuilder._build_company,"PITLeakageError is converted to blocker and feature construction continues","SNAPSHOT_BLOCKED; no scoreable model_input",2,tools/m3top3/tests/test_known_failures_snapshot.py,tools/m3top3/snapshot.py,RED_SPECIFIED_NOT_RUN
KF-SNP-002,P0,Scoring firewall,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"SNAPSHOT_PARTIAL status is never checked","BLOCKED_SNAPSHOT_NOT_READY before scorer; no writes",2,tools/m3top3/tests/test_known_failures_snapshot.py,tools/m3top3/backtest.py,RED_SPECIFIED_NOT_RUN
KF-SNP-003,P0,Scoring firewall,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"SNAPSHOT_BLOCKED status is never checked","BLOCKED_SNAPSHOT_NOT_READY before scorer; no writes",2,tools/m3top3/tests/test_known_failures_snapshot.py,tools/m3top3/backtest.py,RED_SPECIFIED_NOT_RUN
KF-SNP-004,P0,Manifest state,tools/m3top3/backtest.py:ValidationRunner.run_snapshot,"READY plus nonempty blockers is not rejected","BLOCKED_MANIFEST_STATE_CONTRADICTION",2,tools/m3top3/tests/test_known_failures_snapshot.py,tools/m3top3/admission.py,RED_SPECIFIED_NOT_RUN
