PRIORITY,RANK,ITEM_TYPE,OBJECT_ID,SOURCE_LAYER,OWNER_REVIEW_QUESTION,PROPOSED_REVIEW_ACTION,WHY_NOW
P0,1,CENTER_HYPOTHESIS,V02-SUCCESSOR-0118,B_NORMALIZED,"What result would genuinely weaken Identity ?= Memory without redefining Memory?",REQUEST_DISCRIMINATING_TEST,"Central and intentionally strong but explicitly unconfirmed and boundary-dependent"
P0,2,LIVE_REFINEMENT,CX-LIVE-PLANNING-0006,C_LIVE,"Is recognition of remembered history constitutive, evidentiary, or both?",KEEP_ACTIVE_CANDIDATE,"Current research center and source of multiple tests"
P0,3,NORMALIZED_VERDICT,CX-SRC-SRC-R1-0001,B_NORMALIZED,"Can the unavailable raw RED-I packet confirm the register's verdict that literal Identity = Memory was rejected?",NEEDS_SOURCE_CONTEXT,"Normalized cross-file direction is resolved but raw verification remains unavailable"
P0,4,OPEN_QUESTION,CX-LIVE-PLANNING-0007,C_LIVE,"Which Memory definition remains broad enough but falsifiable?",REQUEST_DISCRIMINATING_TEST,"Controls the meaning of the central hypothesis"
P0,5,STATUS_MODELS,CX-LIVE-BRAINSTORM-0038,C_LIVE,"Which Current Status families should enter the first experiment?",REQUEST_DISCRIMINATING_TEST,"Four live alternatives remain unselected"
P0,6,RECOVERED_RULE,V02-LIVE-NEW-0004,C_LIVE,"Should Status dimensions always be independently classified by realization role?",KEEP_ACTIVE_CANDIDATE,"Prevents a bundled schema from becoming ontology"
P0,7,RECONSTRUCTION,CX-SRC-SRC-MI1-0018,B_NORMALIZED,"Is reconstruction outside Memory or internal to a functional Memory definition?",KEEP_AS_COUNTERPOSITION,"Major definition-dependent double crux"
P0,8,PORTABILITY,CX-SRC-SRC-R2-0001,B_NORMALIZED,"Which invariants distinguish portable state from portable Persona?",REQUEST_DISCRIMINATING_TEST,"Needed before architecture claims"
P0,9,AUTHORITY,CX-SRC-SRC-MI0-SRC-MI1-0003,B_NORMALIZED,"What protects against de facto Authority through information control?",NARROW_SCOPE,"Formal firewall may be insufficient in practice"
P0,10,ERASURE,CX-SRC-SRC-R3-0020,B_NORMALIZED,"What bounded observable is enough to claim influence deletion?",REQUEST_DISCRIMINATING_TEST,"Prevents false erasure assurance"
P0,11,FISSION,CX-LIVE-BRAINSTORM-0067,C_LIVE,"Can both successors own shared history without one exclusive same-Persona bearer?",KEEP_ACTIVE_CANDIDATE,"Identity and lineage semantics branch here"
P0,12,MERGE,CX-LIVE-BRAINSTORM-0068,C_LIVE,"Should nontrivial merge default to successor C?",KEEP_AS_COUNTERPOSITION,"Avoids silent overwrite disguised as reconciliation"
P1,13,COMMON_LOCAL,CX-SRC-SRC-R1-0019,B_NORMALIZED,"Is shared evidence plus separate interpretation still a strong direction?",COEXISTS_WITH_CURRENT_CENTER,"Historically important but quieter live"
P1,14,CONVERGENCE,CX-LIVE-BRAINSTORM-0069,C_LIVE,"Which shared layer actually causes convergence?",REQUEST_DISCRIMINATING_TEST,"Needs factorial rather than vocabulary debate"
P1,15,HUMAN_REALISM,CX-LIVE-BRAINSTORM-0041,C_LIVE,"How should perceived realism be weighted against structural fidelity?",NARROW_SCOPE,"Mimicry can bias same-Persona evaluation"
P1,16,RECOVERED_RULE,V02-LIVE-NEW-0001,C_LIVE,"Is the conditional atomicity stopping rule adequate?",KEEP_ACTIVE_CANDIDATE,"Direct response to representation harm"
P1,17,RECOVERED_RULE,V02-LIVE-NEW-0002,C_LIVE,"Should prior-art non-adoption constraints be mandatory in review?",KEEP_ACTIVE_CANDIDATE,"Prevents standards from gaining false authority"
P1,18,RECOVERED_RULE,V02-LIVE-NEW-0003,C_LIVE,"Which lifecycle policies must stay layer-specific?",NARROW_SCOPE,"Research preservation and Persona deletion differ"
P1,19,NEGATIVE_SEMANTIC,V02-LIVE-NEW-0005,C_LIVE,"Should UNKNOWN versus zero be a typed invariant?",KEEP_ACTIVE_CANDIDATE,"Silent provider translation can mutate state"
