inventory_id,legacy_filename,legacy_doc_id,legacy_version,base_date,current_status,current_format,source_role,source_layer,content_type,approximate_record_count,logical_entities,contains_rules,contains_identity,contains_state,contains_evidence,contains_model_interpretation,contains_score,contains_validation,contains_raw_data,contains_generated_view,update_frequency,existing_write_policy,migration_required,archive_required,current_authority,known_conflict_or_override,notes,migration_risk
INV-000,SEMI-ARCHITECTURE-SPEC v1.0,SEMI-ARCHITECTURE-SPEC,v1.0,2026-08-14,FROZEN / ACTIVE ARCHITECTURE CONTRACT,Project logical spec; standalone frozen file 미확인 at Inventory Freeze time,최상위 Architecture Contract,RULE,Architecture / operating contract,1 contract,architecture/rule,Y,N,N,N,N,N,N,N,N,Versioned immutable,Versioned immutable after Freeze,NO — already authoritative; materialization only,Y,TOP,None,Control Plane materialization prerequisite; Inventory wording preserves state at Inventory Freeze time.,HIGH
INV-001,Semi_Eval_Core_v1.0_2026-08-14.docx,SEMI-EVAL-CORE,v1.0,2026-08-14,ACTIVE / Source Registration,DOCX,모델 공통 규칙·F0/F1/F2·β·Trigger,RULE,Rule / model methodology,1 rule doc,model concepts / structure rules,Y,DEF,DEF,REF,Y/DEF,DEF,N,N,N,Version-up only for rule semantics,version-up,Y,Y,Current model rule,Architecture Model/PIT storage-boundary split only; scoring meaning preserved,"F0/F1/F2 concepts, β 7종, Trigger C0~C3, M1~M4/S preserved.",HIGH
INV-002,Semi_Data_Route_v1.1_2026-08-14.docx,SEMI-DATA-ROUTE,v1.1,2026-08-14,ACTIVE / Source Registration,DOCX,Source routing + F3 + legacy PIT/output + validation,MIXED,Routing rule / observation definition / legacy PIT-output schema / validation rule,1 mixed rule doc,source routes / observations / score-output schema,Y,N,DEF,DEF,Y,DEF,DEF,N,N,Version-up,version-up,Y,Y,"Current routing rule, subject to Architecture v1.0 Overrides",Combined PIT/output + model-derived F3 interpretation superseded by Architecture Override A/E,"Trigger Stage, Expectations Gap, Conversion Visibility, Market Recognition are model-derived interpretations, not authoritative PIT state.",HIGH
INV-003,Semi_Data_Route_v1.0_2026-08-14.docx,SEMI-DATA-ROUTE,v1.0,2026-08-14,ACTIVE wording; operationally superseded by v1.1,DOCX (project search reference; local bytes unavailable at materialization),이전 Data Route,MIXED,Prior routing rule version,1 prior version,same as v1.1 predecessor,Y,N,DEF,DEF,Y,DEF,DEF,N,N,Superseded version,old version file,Y,Y,None after cutover,Duplicate ACTIVE wording; v1.1 is operational successor,Archive/superseded lineage only.,HIGH
INV-004,Semi_Universe_v1.0_2026-08-14.docx,SEMI-UNIVERSE,v1.0,2026-08-14,ACTIVE,DOCX,Current U46 + historical eligibility rules,MIXED,Universe membership baseline + rules,46 membership rows,companies / universe membership,Y,REF,Y,N,N,N,DEF,N,N,Universe version-up,document version-up,Y,Y,Current U46 baseline,Architecture 3-layer Universe; current release membership separated from historical valid_from,Current U46 preserved as UNIVERSE-RELEASE. Existing TOP38 historical operational valid_from NOT_INFERRED. New 8 ADDED_2026-08-14 may map to operational_membership_valid_from=2026-08-14 only; tradability is separate. Later expanded historical backtests use separate reconstructed/expanded release and new run.,HIGH
INV-005,SEMI-COMPANY-MASTER_v0.1.docx,SEMI-COMPANY-MASTER,v0.1,2026-08-14,ACTIVE,DOCX,46사 F1 structural seed,MIXED,Company identity / structural baseline / state seed / evidence,46 company records,company identity / structure / state / evidence,DEF,Y,Y,Y,Y,N,N,N,N,R1/R2/RE by field semantics,R1/R2/RE seed document,Y,Y,Current structural seed,Identity gaps; mixed SOURCE_DERIVED and MODEL_DERIVED grades; mapping follows actual Refresh Code semantics,R1→STRUCTURE; R2/RE→STATE; R1/R2 split by field semantics. Existing values are not revised.,HIGH
INV-006,SEMI-FAB-MASTER_v1.0_2026-08-14.docx,SEMI-FAB-MASTER,v1.0,2026-08-14,ACTIVE,DOCX,Samsung/SKH Fab common ledger,MIXED,Fab identity / state / evidence / interpretation,13 fab/project records,fabs / fab states / evidence,Y/DEF,Y,Y,Y,Y,N,N,N,N,R2/R3Q/RE,R2/R3Q/RE flat update,Y,Y,Current Fab baseline,Fact/state/interpretation mixed,"activated_beta_types is MODEL_DERIVED feature from β Transmission Rule, not Source Evidence fact.",HIGH
INV-007,SEMI-SOURCE-INDEX_v1.0.docx,SEMI-SOURCE-INDEX,v1.0,2026-08-14,ACTIVE,DOCX,Retrieval rule + company locator registry,MIXED,LLM routing rule + locator index,7 routing steps + 46 locators,routing / company locators,Y,Y,N,REF,N,N,N,N,N,Versioned document,versioned DOCX,Y,Y,Legacy retrieval/locator,Architecture retrieval changes; rule + registry split preferred,Mapping: retrieval rule→DATA-ROUTE; aliases/locators→COMPANY-IDENTITY/SOURCE-REGISTRY.,MEDIUM
INV-008,SEMI-PIT-LEDGER_v1.0.docx,SEMI-PIT-LEDGER,v1.0,2026-08-14,ACTIVE legacy spec,DOCX,Combined PIT/Evidence/Score/Validation schema,MIXED,Legacy schema/specification,1 schema/spec; 0 detected PIT data rows,PIT specification,DEF,DEF,DEF,DEF,DEF,DEF,DEF,N,N,Legacy append-only spec,append-only spec,Y,Y,Legacy schema only,Override A/B/E; combined schema and old key superseded,Must structurally split to PIT-SNAPSHOT / MODEL-SCORE / MODEL-SCORE-COMPONENT / VALIDATION; historical PIT data reconstruction is separate and not performed.,CRITICAL
INV-009,SEMI-PRICE-LEDGER_v1.0_SCHEMA.csv,NOT_DECLARED,v1.0,2026-08-14,Legacy schema asset,CSV,Price schema,SCHEMA,Schema definition,20 fields; 0 data rows,price schema,DEF,DEF,DEF,N,N,N,N,N,N,Versioned schema,schema file,Y,Y,Legacy price schema,Universe_Eligible_Flag is not authoritative in future PRICE-CANONICAL,Schema-only migration; raw yearly parquet remains RAW_IMMUTABLE.,HIGH
