"company_no","supplied_name","canonical_name","KRX_code","group","company_id","working_membership_source","seed_supply_axis","company_id_binding_status","identity_status","entity_resolution_status","F1_status","listing_history_status","tradability_history_status","business_priority_history_status","price_coverage_status","bp_ready_windows","bp_partial_windows","bp_unresolved_windows","listing_ready_windows","listing_unresolved_windows","outer_universe_provenance_status","authoritative_freeze_status"
1,"케이씨텍","케이씨텍","281820","U46","KRX:281820","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
2,"PSK","PSK","319660","U46","KRX:319660","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
3,"원익QnC","원익QnC","074600","U46","KRX:074600","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
4,"원익머트리얼즈","원익머트리얼즈","104830","U46","KRX:104830","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
5,"리노공업","리노공업","058470","U46","KRX:058470","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","READY","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
6,"유진테크","유진테크","084370","U46","KRX:084370","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
7,"코미코","코미코","183300","U46","KRX:183300","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
8,"한미반도체","한미반도체","042700","U46","KRX:042700","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
9,"PSK홀딩스","PSK홀딩스","031980","U46","KRX:031980","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
10,"하나머티리얼즈","하나머티리얼즈","166090","U46","KRX:166090","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
11,"ISC","ISC","095340","U46","KRX:095340","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
12,"원익IPS","원익IPS","240810","U46","KRX:240810","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
13,"GST","GST","083450","U46","KRX:083450","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
14,"파크시스템스","파크시스템스","140860","U46","KRX:140860","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
15,"HPSP","HPSP","403870","U46","KRX:403870","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
16,"티씨케이","티씨케이","064760","U46","KRX:064760","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
17,"솔브레인","솔브레인","357780","U46","KRX:357780","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
18,"씨엠티엑스","씨엠티엑스","388210","U46","KRX:388210","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","READY",1,2,5,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
19,"STI","STI","039440","U46","KRX:039440","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
20,"동진쎄미켐","동진쎄미켐","005290","U46","KRX:005290","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
21,"월덱스","월덱스","101160","U46","KRX:101160","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
22,"유니셈","유니셈","036200","U46","KRX:036200","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
23,"엑시콘","엑시콘","092870","U46","KRX:092870","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
24,"이오테크닉스","이오테크닉스","039030","U46","KRX:039030","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
25,"오로스테크놀로지","오로스테크놀로지","322310","U46","KRX:322310","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
26,"에스앤에스텍","에스앤에스텍","101490","U46","KRX:101490","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
27,"기가비스","기가비스","420770","U46","KRX:420770","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
28,"테크윙","테크윙","089030","U46","KRX:089030","Semi_Universe_v1.0 + U127_v0.8",,"READY","PARTIAL","PARTIAL","PARTIAL","NEEDS_RESEARCH","PARTIAL","NEEDS_RESEARCH","READY",8,0,0,8,0,"NOT_PROVEN_ROW_LEVEL_OUTCOME_BLIND","FREEZE_CANDIDATE"
