coverage_class,fixture_id,research_coverage_state,fixture_authoring_disposition,model_semantic_binding,model_output_expectation_state,pending_model_outputs,pending_control_bindings,future_outcome_to_model_path,official_golden_ready
GF-01_NORMAL_FULLY_SUPPORTED,AAA-M3TOP3-GR-FX-01,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,EXACT_U127_UNIVERSE_ELIGIBILITY_RELEASE|PIT_ADMISSION|PRODUCTION_KRX_CALENDAR_RELEASE,FALSE,FALSE
GF-02_FEATURE_MISSINGNESS,AAA-M3TOP3-GR-FX-02,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-03_NOT_PROVEN_UNKNOWN_EVIDENCE,AAA-M3TOP3-GR-FX-03,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,EXACT_U127_UNIVERSE_ELIGIBILITY_RELEASE,FALSE,FALSE
GF-04_RETRIEVAL_NOT_FOUND,AAA-M3TOP3-GR-FX-04,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-05_PIT_PUBLICATION_TIME_BOUNDARY,AAA-M3TOP3-GR-FX-05,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-06_FACT_EXISTS_PUBLIC_EVIDENCE_NOT_AVAILABLE,AAA-M3TOP3-GR-FX-06,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-07_IMPUTATION_SENSITIVE,AAA-M3TOP3-GR-FX-07,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-08_RANKING_TIE,AAA-M3TOP3-GR-FX-08,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,PENDING_AAA-MODEL-ARCHITECT_BINDING,EXPECTED_FINAL_SCORES|EXPECTED_ORDER,,FALSE,FALSE
GF-09_RANKABILITY_INCOMPLETE_COVERAGE,AAA-M3TOP3-GR-FX-09,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,PENDING_AAA-MODEL-ARCHITECT_BINDING,EXPECTED_RANKABILITY_AND_SNAPSHOT_COVERAGE_STATE,,FALSE,FALSE
GF-10_UNIVERSE_ELIGIBILITY_RELEASE_MISMATCH,AAA-M3TOP3-GR-FX-10,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,EXACT_U127_RELEASE_ID_FOR_OFFICIAL_ACT,FALSE,FALSE
GF-11_U46_VS_U127_IDENTITY_GUARD,AAA-M3TOP3-GR-FX-11,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,EXACT_U127_UNIVERSE_ELIGIBILITY_RELEASE,FALSE,FALSE
GF-12_SCORER_ARITHMETIC_BOUNDARY,AAA-M3TOP3-GR-FX-12,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,PENDING_AAA-MODEL-ARCHITECT_BINDING,EXPECTED_AXIS_SCORES|EXPECTED_PRE_GATE_SCORE|EXPECTED_FINAL_SCORE,,FALSE,FALSE
GF-13_WEIGHT_APPLICATION_IDENTITY,AAA-M3TOP3-GR-FX-13,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,PENDING_AAA-MODEL-ARCHITECT_BINDING,EXPECTED_WEIGHTED_AXIS_AND_FINAL_SCORE,,FALSE,FALSE
GF-14_TOP3_TOPK_SELECTION_BOUNDARY,AAA-M3TOP3-GR-FX-14,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,PENDING_AAA-MODEL-ARCHITECT_BINDING,EXPECTED_FULL_RANKING|EXPECTED_TOP3_SET|EXPECTED_TOP10_DIAGNOSTIC_VIEW,,FALSE,FALSE
GF-15_CORPORATE_ACTION_PRICE_RELEASE_BOUNDARY,AAA-M3TOP3-GR-FX-15,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,OFFICIAL_GOLDEN_PRICE_RELEASE|PROJECT_AUTHORITATIVE_CA_RELEASE_OR_TREATMENT|PRODUCTION_KRX_CALENDAR_RELEASE|EXACT_U127_RELEASE,FALSE,FALSE
GF-16_TRADING_CALENDAR_BOUNDARY,AAA-M3TOP3-GR-FX-16,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,PRODUCTION_KRX_TRADING_CALENDAR_RELEASE,FALSE,FALSE
GF-17_PARTIAL_EXPECTED_WORK_COMPLETION,AAA-M3TOP3-GR-FX-17,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-18_FUTURE_OUTCOME_LEAKAGE,AAA-M3TOP3-GR-FX-18,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE_ENGINEERING_CONFORMANCE_PENDING,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-19_AI_ADJUDICATION_NOT_GROUND_TRUTH,AAA-M3TOP3-GR-FX-19,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,,FALSE,FALSE
GF-20_FROZEN_RESULT_APPEND_ONLY_NO_OVERWRITE,AAA-M3TOP3-GR-FX-20,MAPPED_AND_CONCRETE,AUTHORED_COMPLETE_RESEARCH_SCOPE,EXACT_CURRENT_NORMATIVE_RECOVERED,NOT_REQUIRED,,GOLDEN_INSTANCE_RESULT_LINEAGE_BINDING,FALSE,FALSE
