migration_id,inventory_id,source_doc_id,source_version,target_object,target_role,target_format_candidate,canonical_or_generated,target_storage_plane,target_logical_key,target_write_policy,target_version_policy,source_of_truth_after_cutover,migration_mode,split_required,merge_required,dependencies,lineage_requirement,migration_audit_requirement,regression_requirement,cutover_blocker,migration_priority,comments
MIG-000,INV-000,SEMI-ARCHITECTURE-SPEC,v1.0,ARCHITECTURE,Frozen top contract,Markdown + machine-readable release metadata,CANONICAL,CONTROL,doc_id + version,immutable,Versioned Immutable,ARCHITECTURE,COPY_AS_IS / materialization,N,N,Freeze approval,exact frozen text + hash,A1/A2,exact-content parity,standalone immutable artifact/release metadata,P0 prerequisite,Architecture itself is not a Legacy migration count; materialization only.
MIG-001,INV-001,SEMI-EVAL-CORE,v1.0,EVAL-CORE; MODEL-DEFINITION; SCORE-COMPONENT-DEFINITION,Rule + versioned model methodology,Markdown/YAML,CANONICAL,CONTROL,doc/version; model_version; model_version+component_key,immutable rule/model versions,Rule/model versioned immutable,EVAL-CORE / MODEL-DEFINITION,STRUCTURAL_SPLIT,Y,N,Architecture; Schema Registry,section→rule/model/component lineage,A1/A2/A3,R2,model/component schema,P0,Existing weights/Trigger/β/Maturity semantics preserved.
MIG-002,INV-002,SEMI-DATA-ROUTE,v1.1,DATA-ROUTE; OBSERVATION definitions; model-dependent mappings; VALIDATION rule refs,Routing/refresh/observation protocol,Markdown/YAML,CANONICAL,CONTROL,route version / observation field key,immutable route version,Versioned immutable,DATA-ROUTE,STRUCTURAL_SPLIT,Y,Y,Architecture; EVAL-CORE,section/field source locator,A1/A2/A3,R1/R2,observation vs interpretation split,P0,Model-derived Trigger/Gap/Conversion/Recognition do not become PIT authoritative state.
MIG-003,INV-003,SEMI-DATA-ROUTE,v1.0,Legacy archive; SOURCE-REGISTRY entry,Superseded prior route,original DOCX + metadata,CANONICAL lineage archive,BOTH,source_id/version,read-only archive,Preserved immutable legacy version,"v1.1 route, not v1.0",ARCHIVE_ONLY,N,N,active pointer,original bytes/version where available,A1,none,explicit superseded status,P0,Local bytes unavailable at Control Plane materialization; hash remains unavailable.
MIG-004,INV-004,SEMI-UNIVERSE,v1.0,UNIVERSE-RELEASE; OPERATIONAL-UNIVERSE-HISTORY; TRADABILITY-HISTORY rule mapping,Current release + operational membership provenance + historical rule mapping,JSONL/YAML/Parquet candidate,CANONICAL,CONTROL,membership record; release_id,append-only membership; immutable releases,universe_rule_version + universe_release_id,Universe histories/releases,STRUCTURAL_SPLIT,Y,N,Company identity; universe schema,original U46 membership locator + ADDED provenance,A1/A2/A3,R1,No historical reconstruction in this gate,P1,Current U46→UNIVERSE-RELEASE. New 8 ADDED_2026-08-14→operational_membership_valid_from=2026-08-14 only. Existing TOP38 historical operational valid_from NOT_INFERRED. Tradability history deferred. Later retrospective expansion uses separate reconstructed/expanded UNIVERSE-RELEASE + new backtest run.
MIG-005,INV-005,SEMI-COMPANY-MASTER,v0.1,COMPANY-IDENTITY; COMPANY-STRUCTURE-HISTORY; COMPANY-STATE-HISTORY; EVIDENCE refs,Company canonical history,JSONL/Parquet candidate,CANONICAL,CONTROL/SMALL-DATA,company_id; history record IDs,immutable identity + append-only histories,schema version + history revisions,Company canonical objects,STRUCTURAL_SPLIT,Y,Y,company schema; evidence conventions,company row/field→legacy locator,A1/A2/A3,R1,field mapping acceptance; unresolved IDs preserved,P1,R1→STRUCTURE; R2/RE→STATE; R1/R2 split by field semantics. Values not revised.
MIG-006,INV-006,SEMI-FAB-MASTER,v1.0,FAB-IDENTITY; FAB-STATE-HISTORY; EVIDENCE/SOURCE refs,Fab canonical history,JSONL/Parquet candidate,CANONICAL,CONTROL/SMALL-DATA,fab_id; state record ID,identity + append-only state,schema version + history revisions,Fab canonical objects,STRUCTURAL_SPLIT,Y,N,fab schema; evidence,each field/fact/source linkage,A1/A2/A3,R1,interpretation excluded from authoritative state,P1,"activated_beta_types→MODEL_DERIVED feature, not Source Evidence fact."
MIG-007,INV-007,SEMI-SOURCE-INDEX,v1.0,DATA-ROUTE retrieval rule; COMPANY-IDENTITY locator attrs; SOURCE-REGISTRY,Rule / locator normalization,YAML/CSV/JSONL,CANONICAL,CONTROL,company_id / source locator ID,versioned rule + normalized registry,rule/registry versions,DATA-ROUTE / Company/Source registry,STRUCTURAL_SPLIT,Y,Y,company/source schemas,locator origin preserved,A1/A2/A3,R1,duplicate locator resolution without fact revision,P1,Rule + Registry split is Architecture-aligned; LLM index becomes GENERATED later.
MIG-008,INV-008,SEMI-PIT-LEDGER,v1.0,PIT-SNAPSHOT schema/rule; MODEL-SCORE mapping; MODEL-SCORE-COMPONENT mapping; VALIDATION mapping; EVIDENCE refs,Legacy schema decomposition,YAML schema/rule; later Parquet/JSONL data,CANONICAL,BOTH,PIT=company_id+snapshot_cutoff_at; score=pit_snapshot_id+model_version,append-only snapshot/score/validation,snapshot_revision ≠ score_revision,new decoupled objects,STRUCTURAL_SPLIT,Y,N,PIT/model/score schemas,legacy block→new object explicit,A1/A2/A3,R1/R2,combined row may not be copied directly,P1,No actual historical PIT data rows detected; historical reconstruction remains separate.
MIG-009,INV-009,NOT_DECLARED,v1.0,SCHEMA-REGISTRY / price schema,Canonical Price schema contract,YAML,CANONICAL,CONTROL,schema_id/version,explicit schema_version,Schema version independent of model,SCHEMA-REGISTRY,SCHEMA_ONLY,N,N,Architecture,original CSV schema retained,A1/A2,field parity,Universe flag excluded from authority,P0,No PRICE-CANONICAL data creation in this stage.
