finding_id,severity,status,scope,observed,execution_impact,claim_impact,owner_action,next_route
ASAV-M3TOP3-V1.2-P2-01,P2,OPEN,terminology_and_role_boundary,"PMOV completion audit and domain validation must never be represented as IVA/L2; Owner fixed IVA execution participation to NONE",NONBLOCKING,BLOCKS_ROLE_MISSTATEMENT,NONE,OPERATIONALIZE_IN_ALL_PACKETS
ASAV-M3TOP3-V1.2-P2-02,P2,OPEN,state_transition_binding,"S0-S1 through S4-S5 require separate evidence rows and receipts",NONBLOCKING_TO_PREFLIGHT,BLOCKS_UNEVIDENCED_STATE_CLAIMS,OWNER_ONLY_AT_RESERVED_BOUNDARY,KEEP_CLAIM_LOCKS
G0-DOC-PORTABILITY-P2-01,P2,OPEN,distribution_copy,"Korean font is not embedded in companion DOCX and may disappear in cross-environment rendering",NONBLOCKING_TO_EXECUTION,BLOCKS_OFFICIAL_CROSS_ENV_DISTRIBUTION,NONE,CREATE_NEW_VERSION_AND_HASH_IF_FIXED
G0-WP1-IDENTITY-P0-01,P0,CONFIRMED,exact_executable_baseline_identity,"Planning A/B and legacy source bytes are exact; official v1 scorer/config/environment lock/v1-specific expected outputs/unified model release manifest are missing",BLOCKS_S0_TO_S1,BLOCKS_FREEZE_GOLDEN_REPLAY_AND_PERFORMANCE_CLAIMS,NONE,RECOVER_EXACT_OR_REGISTER_V1R_SEMANTIC_RECONSTRUCTION
G0-WP1-PROVENANCE-P0-02,P0,CONFIRMED,pre_outcome_provenance,"Original contract timestamp and outcome/winner access history are not bound to the reconstructed F01-F09/gate/tie/NA semantics",BLOCKS_EXACT_PRE_OUTCOME_STATUS,BLOCKS_V1_EXACT_RECOVERY_CLAIM,NONE,BUILD_OUTCOME_EXPOSURE_AND_PROVENANCE_MANIFEST
G0-WP2-U127-P0-01,P0,CONFIRMED,universe_release,"U127 v0.8 has 127/127 membership and company IDs but self-identifies as FREEZE_CANDIDATE; official frozen release and row-level genesis provenance are absent",BLOCKS_G2_AND_OFFICIAL_REPLAY,BLOCKS_UNBIASED_POPULATION_AND_FROZEN_UNIVERSE_CLAIMS,NONE,ISSUE_GOVERNED_UNIVERSE_RELEASE_AFTER_PROVENANCE_CLOSURE
G0-WP2-EXPOSURE-P0-02,P0,CONFIRMED,outcome_exposure,"Exact W1-W8 rows are recovered; v0.8 itself contains winners MFE and full-rank reconstruction and is outcome-exposed; no complete access ledger or sealed-holdout proof is bound",BLOCKS_CLEAN_HOLDOUT_DESIGNATION,BLOCKS_SUCCESSOR_OOS_CLAIM,NONE,CLASSIFY_W1_W8_AS_EXPOSED_DEVELOPMENT_DIAGNOSTIC_EVIDENCE
G0-WP3-DENOMINATOR-P0-01,P0,CONFIRMED,historical_eligibility,"BP certified 465/1016; combined entry eligibility unresolved for 56-59 of 127 companies per window; official winner calculable windows 0/8",BLOCKS_HISTORICAL_DENOMINATOR,BLOCKS_OFFICIAL_WINNER_AND_REPLAY_METRICS,NONE,CLOSE_BP_LISTING_TRADABILITY_AND_CA_GATES
G0-WP3-PIT-P0-02,P0,CONFIRMED,historical_features,"U81 F1 READY=0 PARTIAL=19 NEEDS_RESEARCH=62; Thin PIT data completeness is not measurable until denominator freeze",BLOCKS_FEATURE_RELEASE,BLOCKS_OFFICIAL_SCORING_AND_COVERAGE_CLAIMS,NONE,BUILD_BLINDED_PIT_READINESS_AND_ANNOTATION_RELEASE
G0-WP3-PRICE-P0-03,P0,CONFIRMED,price_and_ca,"Local 2025 Parquet hash passes; U127 workbook records 2024/2026 hashes but those component bytes are not in current execution workspace; CA final scan has two open axes",BLOCKS_DATA_RELEASE,BLOCKS_OFFICIAL_OUTCOME_CALCULATION,NONE,MATERIALIZE_READBACK_VERIFY_ALL_COMPONENTS_AND_CLOSE_CA_SCAN
G0-WP4-RUNTIME-P0-01,P0,CONFIRMED,pit_admission,"publication_at=None is accepted; raw PIT violations can be converted into blockers while PARTIAL bytes are still written",BLOCKS_OFFICIAL_RUNTIME,BLOCKS_GOLDEN_AND_REPLAY,NONE,IMPLEMENT_FAIL_CLOSED_ADMISSION_AND_QUARANTINE
G0-WP4-RUNTIME-P0-02,P0,CONFIRMED,state_and_cli,"Backtest does not require SNAPSHOT_READY and blocked runs can exit zero",BLOCKS_AUTOMATED_CONTROL,BLOCKS_RUN_SUCCESS_CLAIM,NONE,ENFORCE_READY_ONLY_AND_NONZERO_FAILURE
G0-WP4-LINEAGE-P0-03,P0,CONFIRMED,integrity_and_immutability,"Snapshot/result fixed paths overwrite; stored bytes are not rehashed on readback; canonical Run Manifest and Model Score ledger are missing",BLOCKS_REPRODUCIBILITY,BLOCKS_IMMUTABLE_LINEAGE_CLAIM,NONE,IMPLEMENT_REVISIONED_ATOMIC_APPEND_ONLY_LINEAGE
G0-WP4-EVALUATION-P0-04,P0,CONFIRMED,full_universe_outcome,"Append-only prediction ledger and outcome path cover Top3 only; mutable result JSON holds full rank; full-universe outcome diagnostics are unavailable",BLOCKS_EVALUATION_METRICS,BLOCKS_NDCG_CRITICAL_MISS_TOP10_CAPTURE_CLAIMS,NONE,PERSIST_FULL_RANK_AND_COMPUTE_FULL_ELIGIBLE_UNIVERSE_OUTCOMES
G0-WP4-GOLDEN-P0-05,P0,CONFIRMED,golden_harness,"Golden preparation filename/internal version mismatch; GF01-GF20 taxonomy exists without concrete fixture bytes independent oracle expected-output hash or harness",BLOCKS_GOLDEN_ENTRY,BLOCKS_OFFICIAL_GOLDEN_PASS,NONE,BUILD_INDEPENDENT_SYNTHETIC_GOLDEN_AFTER_RUNTIME_REMEDIATION
