test_id,observed_status,evidence_method,evidence_receipt,chronology
KF-PIT-001,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PIT-002,BASE_SAFE_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PIT-003,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PIT-004,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PIT-005,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PIT-006,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-SNP-001,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-SNP-002,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-SNP-003,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-SNP-004,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-INT-001,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-INT-002,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-INT-003,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-INT-004,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-INT-005,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PRC-001,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PRC-002,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PRC-003,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PRC-004,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PRC-005,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-PRC-006,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-IMM-001,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-IMM-002,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-IMM-003,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-IMM-004,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-CLI-001,CONTROL_ABSENT_SOURCE_OBSERVED,EXACT_BASE_SOURCE_STATIC_OBSERVATION,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-CLI-002,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-CLI-003,CONTROL_ABSENT_SOURCE_OBSERVED,EXACT_BASE_SOURCE_STATIC_OBSERVATION,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-MOD-001,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-MOD-002,RED_OBSERVED,EXACT_BASE_EXECUTABLE_PROBE,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-MOD-003,CONTROL_ABSENT_SOURCE_OBSERVED,EXACT_BASE_SOURCE_STATIC_OBSERVATION,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-MOD-004,CONTROL_ABSENT_SOURCE_OBSERVED,EXACT_BASE_SOURCE_STATIC_OBSERVATION,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
KF-MOD-005,CONTROL_ABSENT_SOURCE_OBSERVED,EXACT_BASE_SOURCE_STATIC_OBSERVATION,05_POST_HOC_RETROSPECTIVE_EXACT_BASE_RED_RECEIPT_v0.2.json,POST_HOC_RETROSPECTIVE_EXACT_BASE
